,Txn Date,Value Date,Cheque No.,Description,Branch Code,Debit,Credit,Balance
166,28-06-2024 15:02:51,28 Jun 2024,418065540173.0,UPI/DR/418065540173/KENCHE GO/YESB/**go1sh@paytm/UPI//ICIf5885927d0bf4a3381a5d2bdd92bf5a4/28/06/2024 15:02:51,33,40.00,,576.18
167,28-06-2024 16:52:16,28 Jun 2024,454617648457.0,UPI/DR/454617648457/Smart Poi/JIOP/**55-01@jiopay/UPI//ICIccd856ca246e426cb295a01ae61ea533/28/06/2024 16:52:16,33,103.20,,472.98
168,28-06-2024 19:29:12,28 Jun 2024,454680756235.0,UPI/DR/454680756235/LEENA   T/YESB/**06195@ybl/UPI//ICI33682e9cb3f0421f92f6d77ad318a9bc/28/06/2024 19:29:12,33,70.00,,402.98
169,28-06-2024 19:32:27,28 Jun 2024,418035355023.0,UPI/DR/418035355023/Smart Poi/ICIC/**55-01@jiopay/UPI//ICIb3d1acb027a040c6b73668bdcef092a0/28/06/2024 19:32:27,33,36.40,,366.58
170,28-06-2024 20:20:13,28 Jun 2024,454626068303.0,UPI/DR/454626068303/Smart Poi/ICIC/**55-01@jiopay/UPI//ICI6a0e9adfe6f94ea7aed9b9c2873ebf4b/28/06/2024 20:20:13,33,49.00,,317.58
171,28-06-2024 22:32:15,29 Jun 2024,418023027894.0,UPI/DR/418023027894/Darshan S/PPIW/**41425@slice/5807e319//AXBe969e80520ef4925baadc42af9a9df15/28/06/2024 22:32:15,33,31.93,,285.65
172,28-06-2024 23:54:18,29 Jun 2024,418018411504.0,UPI/CR/418018411504/SATHISH S/CNRB/**268-1@oksbi/UPI//SBIeb625665c94b43bca9df1aa1892c39f8/28/06/2024 23:54:18,33,,"1,000.00","1,285.65"
173,29-06-2024 12:05:56,29 Jun 2024,418117782452.0,UPI/DR/418117782452/DIVYANSHU/ICIC/**77736@ibl/UPI//ICI8ca0aeec0a234a749364189f37d12d6c/29/06/2024 12:05:56,33,900.00,,385.65
174,29-06-2024 13:11:36,29 Jun 2024,418116455323.0,UPI/DR/418116455323/SRI BRAHM/YESB/**8tpa5@paytm/UPI//AXBb88c9d0c44404ebd8f21396296ef4551/29/06/2024 13:11:36,33,63.00,,322.65
175,29-06-2024 23:29:07,30 Jun 2024,418191532787.0,UPI/DR/418191532787/SANJAY Y/DBSS/**ayrek@axl/UPI//AXBc27cc4126b7349a9bc4dffbe2598c0f2/29/06/2024 23:29:07,33,25.00,,297.65
176,30-06-2024 11:30:45,30 Jun 2024,418288637169.0,UPI/DR/418288637169/Lingraj/IDFB/**69056@ibl/UPI//AXBba2e8a97c6ae48c8a665df49cd3e5473/30/06/2024 11:30:45,33,25.00,,272.65
